Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
a-kiss-mini-dress-white,,,,,,,,Size,US 6,Color,White,,,135631-1253140,0,shopify,999,deny,manual,76.95,,TRUE,TRUE,,,,
a-kiss-mini-dress-white,,,,,,,,Size,US 8,Color,White,,,135631-1253141,0,shopify,999,deny,manual,76.95,,TRUE,TRUE,,,,
a-kiss-mini-dress-white,,,,,,,,Size,US 10,Color,White,,,135631-1253142,0,shopify,999,deny,manual,76.95,,TRUE,TRUE,,,,
a-kiss-mini-dress-white,,,,,,,,Size,US 12,Color,White,,,135631-1253143,0,shopify,999,deny,manual,76.95,,TRUE,TRUE,,,,
a-list-halter-cowl-neck-mini-dress-chocolate,A-list Halter Cowl Neck Mini Dress Chocolate,"<p>The A-list takes a satin mini dress and gives it a clean, confident line with a halter neckline in chocolate.</p><p>Look closer for an open back. The fabric holds its shape with no stretch and it&#x27;s fully lined.</p><p><strong>Details</strong></p><ul><li>Mini dress with cowl detailing &amp; a halter neckline</li><li>Satin fabric, side zip closure, adjustable halter straps, backless</li><li>No stretch, Fully lined</li><li>Main &amp; Lining: 100% polyester</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li><li>Care: Cold gentle machine wash.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Mini Dresses,"Brown Dresses, Dresses, Halter Dresses, Mini Dresses, New Dresses, Sale Dresses, Satin Dresses",TRUE,Size,US 0,Color,Chocolate,,,149507-1338801,0,shopify,999,deny,manual,68.99,,TRUE,TRUE,FALSE,A-list Halter Cowl Neck Mini Dress Chocolate,A-list — Chocolate satin mini dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
a-list-halter-cowl-neck-mini-dress-chocolate,,,,,,,,Size,US 2,Color,Chocolate,,,149507-1338802,0,shopify,999,deny,manual,68.99,,TRUE,TRUE,,,,
a-list-halter-cowl-neck-mini-dress-chocolate,,,,,,,,Size,US 4,Color,Chocolate,,,149507-1338803,0,shopify,999,deny,manual,68.99,,TRUE,TRUE,,,,
a-list-halter-cowl-neck-mini-dress-chocolate,,,,,,,,Size,US 6,Color,Chocolate,,,149507-1338804,0,shopify,999,deny,manual,68.99,,TRUE,TRUE,,,,
a-list-halter-cowl-neck-mini-dress-chocolate,,,,,,,,Size,US 8,Color,Chocolate,,,149507-1338805,0,shopify,999,deny,manual,68.99,,TRUE,TRUE,,,,
a-list-halter-cowl-neck-mini-dress-chocolate,,,,,,,,Size,US 10,Color,Chocolate,,,149507-1338806,0,shopify,999,deny,manual,68.99,,TRUE,TRUE,,,,
a-list-halter-cowl-neck-mini-dress-chocolate,,,,,,,,Size,US 12,Color,Chocolate,,,149507-1338807,0,shopify,999,deny,manual,68.99,,TRUE,TRUE,,,,
a-list-halter-cowl-neck-mini-dress-plum,A-list Halter Cowl Neck Mini Dress Plum,"<p>The A-list is a satin mini dress with a halter neckline, cut in plum to sit close through the bodice and move easily from there.</p><p>Look closer for an open back. The fabric holds its shape with no stretch and it&#x27;s fully lined.</p><p>Pull it out for birthdays and nights out.</p><p><strong>Details</strong></p><ul><li>Mini dress with cowl detailing &amp; a halter neckline</li><li>Satin fabric, side zip closure, tie halter, backless</li><li>No stretch, Fully lined</li><li>Main &amp; Lining: 100% polyester</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li><li>Care: Cold gentle machine wash.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Mini Dresses,"Birthday Dresses, Dresses, Going Out Dresses, Halter Dresses, Mini Dresses, New Dresses, Red Dresses, Sale Dresses, Satin Dresses",TRUE,Size,US 0,Color,Plum,,,153060-1360401,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,FALSE,A-list Halter Cowl Neck Mini Dress Plum,A-list — Plum satin mini dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
a-list-halter-cowl-neck-mini-dress-plum,,,,,,,,Size,US 2,Color,Plum,,,153060-1360402,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,,,,
a-list-halter-cowl-neck-mini-dress-plum,,,,,,,,Size,US 4,Color,Plum,,,153060-1360403,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,,,,
a-list-halter-cowl-neck-mini-dress-plum,,,,,,,,Size,US 6,Color,Plum,,,153060-1360404,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,,,,
a-list-halter-cowl-neck-mini-dress-plum,,,,,,,,Size,US 8,Color,Plum,,,153060-1360405,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,,,,
a-list-halter-cowl-neck-mini-dress-plum,,,,,,,,Size,US 10,Color,Plum,,,153060-1360406,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,,,,
a-list-halter-cowl-neck-mini-dress-plum,,,,,,,,Size,US 12,Color,Plum,,,153060-1360407,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,,,,
a-vision-hardware-detail-maxi-dress-blue,A Vision Hardware Detail Maxi Dress Blue,"<p>Cut as a maxi dress with a halter neckline, the A Vision Hardware Detail balances a defined bodice in blue with a skirt that moves.</p><p>The fabric holds its shape with no stretch and it&#x27;s fully lined.</p><p>Made using reclaimed fibres.</p><p><strong>Details</strong></p><ul><li>Hardware detail Maxi dress</li><li>Bead detail, pinched bust, adjustable halter straps</li><li>No stretch, Fully lined</li><li>Main: 90% reclaimed polyester 10% elastane, Lining: 95% reclaimed polyester 5% elastane</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li><li>Care: Cold gentle machine wash.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Maxi & Midi Dresses,"Blue Dresses, Dresses, Maxi Dresses, New Dresses",TRUE,Size,US 0,Color,Blue,,,146353-1319513,0,shopify,999,deny,manual,67.99,,TRUE,TRUE,FALSE,A Vision Hardware Detail Maxi Dress Blue,A Vision Hardware Detail — Blue halter maxi dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
a-vision-hardware-detail-maxi-dress-blue,,,,,,,,Size,US 2,Color,Blue,,,146353-1319514,0,shopify,999,deny,manual,67.99,,TRUE,TRUE,,,,
a-vision-hardware-detail-maxi-dress-blue,,,,,,,,Size,US 4,Color,Blue,,,146353-1319515,0,shopify,999,deny,manual,67.99,,TRUE,TRUE,,,,
a-vision-hardware-detail-maxi-dress-blue,,,,,,,,Size,US 6,Color,Blue,,,146353-1319516,0,shopify,999,deny,manual,67.99,,TRUE,TRUE,,,,
a-vision-hardware-detail-maxi-dress-blue,,,,,,,,Size,US 8,Color,Blue,,,146353-1319517,0,shopify,999,deny,manual,67.99,,TRUE,TRUE,,,,
a-vision-hardware-detail-maxi-dress-blue,,,,,,,,Size,US 10,Color,Blue,,,146353-1319518,0,shopify,999,deny,manual,67.99,,TRUE,TRUE,,,,
a-vision-hardware-detail-maxi-dress-blue,,,,,,,,Size,US 12,Color,Blue,,,146353-1319519,0,shopify,999,deny,manual,67.99,,TRUE,TRUE,,,,
abdul-mini-dress-wine,Abdul Mini Dress Wine,"<p>Meet the Abdul: a mini dress, finished in wine with the kind of detail that reads considered rather than fussy.</p><p>The cut is flared and deliberately simple. The fabric holds its shape with no stretch and it&#x27;s fully lined.</p><p>We&#x27;d wear it for birthdays and nights out. Cut from fabric woven with reclaimed fibres.</p><p><strong>Details</strong></p><ul><li>Flared Mini dress</li><li>Pleated hem, adjustable straps, invisible zip at back</li><li>No stretch, Fully lined</li><li>Main: 95% reclaimed polyester 5% elastane, Lining: 97% polyester 3% elastane</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li><li>Care: Cold hand wash.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Mini Dresses,"Birthday Dresses, Dresses, Going Out Dresses, New Dresses, Red Dresses",TRUE,Size,US 0,Color,Wine,,,140977-1286560,0,shopify,999,deny,manual,73.00,,TRUE,TRUE,FALSE,Abdul Mini Dress Wine,Abdul — Wine mini dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
abdul-mini-dress-wine,,,,,,,,Size,US 2,Color,Wine,,,140977-1286561,0,shopify,999,deny,manual,73.00,,TRUE,TRUE,,,,
abdul-mini-dress-wine,,,,,,,,Size,US 4,Color,Wine,,,140977-1286562,0,shopify,999,deny,manual,73.00,,TRUE,TRUE,,,,
abdul-mini-dress-wine,,,,,,,,Size,US 6,Color,Wine,,,140977-1286563,0,shopify,999,deny,manual,73.00,,TRUE,TRUE,,,,
abdul-mini-dress-wine,,,,,,,,Size,US 8,Color,Wine,,,140977-1286564,0,shopify,999,deny,manual,73.00,,TRUE,TRUE,,,,
abdul-mini-dress-wine,,,,,,,,Size,US 10,Color,Wine,,,140977-1286565,0,shopify,999,deny,manual,73.00,,TRUE,TRUE,,,,
abdul-mini-dress-wine,,,,,,,,Size,US 12,Color,Wine,,,140977-1286566,0,shopify,999,deny,manual,73.00,,TRUE,TRUE,,,,
abdul-mini-dress-wine,,,,,,,,Size,US 14,Color,Wine,,,140977-1286567,0,shopify,999,deny,manual,73.00,,TRUE,TRUE,,,,
abdul-mini-dress-wine,,,,,,,,Size,US 16,Color,Wine,,,140977-1286568,0,shopify,999,deny,manual,73.00,,TRUE,TRUE,,,,
abdul-mini-dress-wine,,,,,,,,Size,US 18,Color,Wine,,,140977-1286569,0,shopify,999,deny,manual,73.00,,TRUE,TRUE,,,,
abdul-mini-dress-wine,,,,,,,,Size,US 20,Color,Wine,,,140977-1286570,0,shopify,999,deny,manual,73.00,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-burgundy,Abeila Strapless Maxi Dress Burgundy,"<p>The Abeila is our take on the floral maxi dress with a strapless neckline — quietly striking in burgundy, and comfortable enough to wear all evening.</p><p>The fabric holds its shape with no stretch and the bodice is lined.</p><p>One for birthdays and black-tie and formal evenings.</p><p><strong>Details</strong></p><ul><li>Strapless floral Maxi dress</li><li>Inner silicone strip at bust, ruched detail at bust, invisible zip fastening at side</li><li>No stretch, Part-lined</li><li>100% polyester</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li><li>Care: Cold gentle machine wash.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Maxi & Midi Dresses,"Birthday Dresses, Dresses, Floral Dresses, Formal & Fancy Dresses, Going Out Dresses, Maxi Dresses, New Dresses, Red Dresses, Strapless Dresses",TRUE,Size,US 0,Color,Burgundy,,,135617-1253039,0,shopify,999,deny,manual,73.95,,TRUE,TRUE,FALSE,Abeila Strapless Maxi Dress Burgundy,Abeila — Burgundy strapless maxi dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
abeila-strapless-maxi-dress-burgundy,,,,,,,,Size,US 2,Color,Burgundy,,,135617-1253040,0,shopify,999,deny,manual,73.95,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-burgundy,,,,,,,,Size,US 4,Color,Burgundy,,,135617-1253041,0,shopify,999,deny,manual,73.95,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-burgundy,,,,,,,,Size,US 6,Color,Burgundy,,,135617-1253042,0,shopify,999,deny,manual,73.95,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-burgundy,,,,,,,,Size,US 8,Color,Burgundy,,,135617-1253043,0,shopify,999,deny,manual,73.95,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-burgundy,,,,,,,,Size,US 10,Color,Burgundy,,,135617-1253044,0,shopify,999,deny,manual,73.95,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-burgundy,,,,,,,,Size,US 12,Color,Burgundy,,,135617-1253045,0,shopify,999,deny,manual,73.95,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-pink,Abeila Strapless Maxi Dress Pink,"<p>The Abeila takes a floral maxi dress and gives it a clean, confident line with a strapless neckline in pink.</p><p>The fabric holds its shape with no stretch and the bodice is lined.</p><p>It earns its place at birthdays and black-tie and formal evenings.</p><p><strong>Details</strong></p><ul><li>Strapless Maxi dress</li><li>Floral print, silicone strip, pinched bust, invisible zipper on side</li><li>No stretch, Part-lined</li><li>100% polyester</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li><li>Care: Cold hand wash.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Maxi & Midi Dresses,"Birthday Dresses, Dresses, Floral Dresses, Formal & Fancy Dresses, Going Out Dresses, Maxi Dresses, New Dresses, Pink Dresses, Strapless Dresses",TRUE,Size,US 0,Color,Pink,,,138643-1271432,0,shopify,999,deny,manual,81.99,,TRUE,TRUE,FALSE,Abeila Strapless Maxi Dress Pink,Abeila — Pink strapless maxi dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
abeila-strapless-maxi-dress-pink,,,,,,,,Size,US 2,Color,Pink,,,138643-1271433,0,shopify,999,deny,manual,81.99,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-pink,,,,,,,,Size,US 4,Color,Pink,,,138643-1271434,0,shopify,999,deny,manual,81.99,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-pink,,,,,,,,Size,US 6,Color,Pink,,,138643-1271435,0,shopify,999,deny,manual,81.99,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-pink,,,,,,,,Size,US 8,Color,Pink,,,138643-1271436,0,shopify,999,deny,manual,81.99,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-pink,,,,,,,,Size,US 10,Color,Pink,,,138643-1271437,0,shopify,999,deny,manual,81.99,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-pink,,,,,,,,Size,US 12,Color,Pink,,,138643-1271438,0,shopify,999,deny,manual,81.99,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-pink-multi,Abeila Strapless Maxi Dress Pink Multi,"<p>Cut as a floral maxi dress with a strapless neckline, the Abeila balances a defined bodice in pink multi with a skirt that moves.</p><p>The fabric holds its shape with no stretch and the bodice is lined.</p><p>Made with birthdays and nights out in mind.</p><p><strong>Details</strong></p><ul><li>Strapless Maxi dress</li><li>Floral print</li><li>Inner silicone strip at bust</li><li>Ruched detail at bust</li><li>Invisible zip fastening at side</li><li>No stretch, Part-lined</li><li>100% polyester</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Maxi & Midi Dresses,"Birthday Dresses, Dresses, Floral Dresses, Going Out Dresses, Maxi Dresses, New Dresses, Pink Dresses, Strapless Dresses",TRUE,Size,US 0,Color,Pink Multi,,,126288-1198420,0,shopify,999,deny,manual,75.99,,TRUE,TRUE,FALSE,Abeila Strapless Maxi Dress Pink Multi,Abeila — Pink multi strapless maxi dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
abeila-strapless-maxi-dress-pink-multi,,,,,,,,Size,US 2,Color,Pink Multi,,,126288-1198421,0,shopify,999,deny,manual,75.99,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-pink-multi,,,,,,,,Size,US 4,Color,Pink Multi,,,126288-1198422,0,shopify,999,deny,manual,75.99,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-pink-multi,,,,,,,,Size,US 6,Color,Pink Multi,,,126288-1198423,0,shopify,999,deny,manual,75.99,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-pink-multi,,,,,,,,Size,US 8,Color,Pink Multi,,,126288-1198424,0,shopify,999,deny,manual,75.99,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-pink-multi,,,,,,,,Size,US 10,Color,Pink Multi,,,126288-1198425,0,shopify,999,deny,manual,75.99,,TRUE,TRUE,,,,
abeila-strapless-maxi-dress-pink-multi,,,,,,,,Size,US 12,Color,Pink Multi,,,126288-1198426,0,shopify,999,deny,manual,75.99,,TRUE,TRUE,,,,
abigaia-v-neck-mini-dress-brown-paisley,Abigaia V Neck Mini Dress Brown Paisley,"<p>The Abigaia is a paisley mini dress with a V neckline, cut in brown paisley to sit close through the bodice and move easily from there.</p><p>The cut is A-line and deliberately simple. The fabric holds its shape with no stretch and it&#x27;s fully lined.</p><p>We&#x27;d wear it for birthdays and nights out.</p><p><strong>Details</strong></p><ul><li>A-line mini dress in paisley print</li><li>Thin adjustable straps, gathered bust detail, invisible zip closure at side</li><li>No stretch, Fully lined</li><li>Main &amp; Lining: 100% polyester</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li><li>Care: Cold gentle machine wash.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Mini Dresses,"Birthday Dresses, Brown Dresses, Dresses, Going Out Dresses, Mini Dresses, New Dresses, Sale Dresses",TRUE,Size,US 0,Color,Brown Paisley,,,151711-1352219,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,FALSE,Abigaia V Neck Mini Dress Brown Paisley,Abigaia — Brown paisley v mini dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
abigaia-v-neck-mini-dress-brown-paisley,,,,,,,,Size,US 2,Color,Brown Paisley,,,151711-1352220,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,,,,
abigaia-v-neck-mini-dress-brown-paisley,,,,,,,,Size,US 4,Color,Brown Paisley,,,151711-1352221,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,,,,
abigaia-v-neck-mini-dress-brown-paisley,,,,,,,,Size,US 6,Color,Brown Paisley,,,151711-1352222,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,,,,
abigaia-v-neck-mini-dress-brown-paisley,,,,,,,,Size,US 8,Color,Brown Paisley,,,151711-1352223,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,,,,
abigaia-v-neck-mini-dress-brown-paisley,,,,,,,,Size,US 10,Color,Brown Paisley,,,151711-1352224,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,,,,
abigaia-v-neck-mini-dress-brown-paisley,,,,,,,,Size,US 12,Color,Brown Paisley,,,151711-1352225,0,shopify,999,deny,manual,75.00,,TRUE,TRUE,,,,
abigaille-strapless-bubble-hem-mini-dress-check,Abigaille Strapless Bubble Hem Mini Dress Check,"<p>A checked mini dress with a strapless neckline, the Abigaille is built in check around an easy shape that flatters without pulling focus.</p><p>The cut is bubble-hem and deliberately simple. The fabric holds its shape with no stretch and it&#x27;s fully lined.</p><p>We&#x27;d wear it for birthdays and nights out.</p><p><strong>Details</strong></p><ul><li>Strapless bubble hem Mini dress</li><li>Check print, ruched, silicone lining inside bust, pleated hem detailing</li><li>No stretch, Fully lined</li><li>Main: 100% cotton, Lining: 100% polyester</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li><li>Care: Cold hand wash.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Mini Dresses,"Birthday Dresses, Dresses, Going Out Dresses, New Dresses, Strapless Dresses",TRUE,Size,US 0,Color,Check,,,141426-1289575,0,shopify,999,deny,manual,76.99,,TRUE,TRUE,FALSE,Abigaille Strapless Bubble Hem Mini Dress Check,Abigaille — Check strapless mini dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
abigaille-strapless-bubble-hem-mini-dress-check,,,,,,,,Size,US 2,Color,Check,,,141426-1289576,0,shopify,999,deny,manual,76.99,,TRUE,TRUE,,,,
abigaille-strapless-bubble-hem-mini-dress-check,,,,,,,,Size,US 4,Color,Check,,,141426-1289577,0,shopify,999,deny,manual,76.99,,TRUE,TRUE,,,,
abigaille-strapless-bubble-hem-mini-dress-check,,,,,,,,Size,US 6,Color,Check,,,141426-1289578,0,shopify,999,deny,manual,76.99,,TRUE,TRUE,,,,
abigaille-strapless-bubble-hem-mini-dress-check,,,,,,,,Size,US 8,Color,Check,,,141426-1289579,0,shopify,999,deny,manual,76.99,,TRUE,TRUE,,,,
abigaille-strapless-bubble-hem-mini-dress-check,,,,,,,,Size,US 10,Color,Check,,,141426-1289580,0,shopify,999,deny,manual,76.99,,TRUE,TRUE,,,,
abigaille-strapless-bubble-hem-mini-dress-check,,,,,,,,Size,US 12,Color,Check,,,141426-1289581,0,shopify,999,deny,manual,76.99,,TRUE,TRUE,,,,
about-a-girl-maxi-dress-chocolate,About A Girl Maxi Dress Chocolate,"<p>A satin maxi dress with a scoop neckline, the About A Girl is built in chocolate around an easy shape that flatters without pulling focus.</p><p>It&#x27;s finished with a leg split and a low back. The fabric has a generous stretch and the bodice is lined.</p><p>Pull it out for birthdays and black-tie and formal evenings.</p><p><strong>Details</strong></p><ul><li>Satin front tie maxi dress</li><li>Scoop neckline, split detail, low back, adjustable straps</li><li>Good stretch, Part-lined</li><li>95% polyester 5% elastane</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li><li>Care: Cold hand wash.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Maxi & Midi Dresses,"Birthday Dresses, Brown Dresses, Dresses, Formal & Fancy Dresses, Going Out Dresses, Maxi Dresses, New Dresses, Satin Dresses",TRUE,Size,US 0,Color,Chocolate,,,133632-1241338,0,shopify,999,deny,manual,71.99,,TRUE,TRUE,FALSE,About A Girl Maxi Dress Chocolate,About A Girl — Chocolate satin maxi dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
about-a-girl-maxi-dress-chocolate,,,,,,,,Size,US 2,Color,Chocolate,,,133632-1241339,0,shopify,999,deny,manual,71.99,,TRUE,TRUE,,,,
about-a-girl-maxi-dress-chocolate,,,,,,,,Size,US 4,Color,Chocolate,,,133632-1241340,0,shopify,999,deny,manual,71.99,,TRUE,TRUE,,,,
about-a-girl-maxi-dress-chocolate,,,,,,,,Size,US 6,Color,Chocolate,,,133632-1241341,0,shopify,999,deny,manual,71.99,,TRUE,TRUE,,,,
about-a-girl-maxi-dress-chocolate,,,,,,,,Size,US 8,Color,Chocolate,,,133632-1241342,0,shopify,999,deny,manual,71.99,,TRUE,TRUE,,,,
about-a-girl-maxi-dress-chocolate,,,,,,,,Size,US 10,Color,Chocolate,,,133632-1241343,0,shopify,999,deny,manual,71.99,,TRUE,TRUE,,,,
about-a-girl-maxi-dress-chocolate,,,,,,,,Size,US 12,Color,Chocolate,,,133632-1241344,0,shopify,999,deny,manual,71.99,,TRUE,TRUE,,,,
about-a-girl-maxi-dress-red,About A Girl Maxi Dress Red,"<p>Cut as a satin maxi dress, the About A Girl balances a defined bodice in red with a skirt that moves.</p><p>Details include cut-out detail. The fabric has a generous stretch and the bodice is lined.</p><p><strong>Details</strong></p><ul><li>Maxi dress</li><li>Satin material, v-neckline, cut-out detail with tie fastenings, adjustable shoulder straps</li><li>Good stretch, Part-lined</li><li>95% polyester 5% elastane</li></ul><p><strong>Fit &amp; care</strong></p><ul><li>Model wears a US 4 / UK 8 unless stated. See the size guide for garment measurements.</li><li>Care: Cold hand wash.</li></ul>",Populars Clothes,Apparel & Accessories > Clothing > Dresses,Maxi & Midi Dresses,"Birthday Dresses, Dresses, Formal & Fancy Dresses, Going Out Dresses, Maxi Dresses, New Dresses, Red Dresses, Satin Dresses",TRUE,Size,US 0,Color,Red,,,137680-1265405,0,shopify,999,deny,manual,66.95,,TRUE,TRUE,FALSE,About A Girl Maxi Dress Red,About A Girl — Red satin maxi dress by Populars Clothes. Free US & UK shipping over $100. 30-day returns.,active
about-a-girl-maxi-dress-red,,,,,,,,Size,US 2,Color,Red,,,137680-1265406,0,shopify,999,deny,manual,66.95,,TRUE,TRUE,,,,
